"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Configuración de atribución",Resultados,"Indicador de resultado",Alcance,Impresiones,"Coste por resultados","Importe gastado (PEN)",Fin
2025-11-24,2026-01-30,,0,0,0,"Configuración de atribución múltiple",,,1853644,4679129,,16706.48,
2025-11-24,2026-01-30,"Campaña de seguidores - 1era semana enero",completed,847.46,"Toda la campaña","7 días después del clic o 1 día después de la visualización",3074,actions:like,284361,575392,0.2756864,847.46,2026-01-07
2025-11-24,2026-01-30,"Campaña ""Evento FIBA 2""",completed,42.37,"Toda la campaña","7 días después del clic o 1 día después de la visualización",68,actions:rsvp,15867,19619,0.6225,42.33,2026-01-09
2025-11-24,2026-01-30,"Campaña ""Post evento FIBA 2""",completed,42.37,"Toda la campaña","7 días después del clic o 1 día después de la visualización",513,actions:post_engagement,7227,8058,0.08239766,42.27,2026-01-09
2025-11-24,2026-01-30,"Campaña ""Chiclayo básquet""",archived,84.75,"Toda la campaña",-,,,0,0,,0,2026-01-10
2025-11-24,2026-01-30,"Campaña ""Básquet Chiclayo""",completed,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",743,actions:post_engagement,16265,22845,0.11403769,84.73,2026-01-11
2025-11-24,2026-01-30,"Campaña ""Posición de Somos Perú""",completed,84.75,"Toda la campaña",-,,,0,0,,0,2026-01-13
2025-11-24,2026-01-30,"Tráfico ""Pronunciamiento Jerí""",inactive,169.5,"Toda la campaña",-,,,0,0,,0,2026-01-16
2025-11-24,2026-01-30,"Campaña ""Presentación en Loreto""",inactive,169.5,"Toda la campaña","7 días después del clic o 1 día después de la visualización",35610,actions:post_engagement,41430,53957,0.0020879,74.35,2026-01-25
2025-11-24,2026-01-30,"Campaña de seguidores - 4ta semana enero",active,847.46,"Toda la campaña","7 días después del clic o 1 día después de la visualización",1562,actions:like,77732,123464,0.29263124,457.09,2026-02-01
2025-11-24,2026-01-30,"Campaña ""DM Whatsapp - Somistas"" - Copia",recently_completed,847.73,"Toda la campaña","7 días después del clic o 1 día después de la visualización",194,actions:onsite_conversion.messaging_conversation_started_7d,24884,64757,4.35427835,844.73,2026-01-29
2025-11-24,2026-01-30,"Campaña ""Peruanos en Madrid""",recently_rejected,169.5,"Toda la campaña",-,,,0,0,,0,2026-02-03
2025-11-24,2026-01-30,"Campaña de seguidores ""diaria""",active,169.5,Diario,"7 días después del clic o 1 día después de la visualización",1214,actions:like,47103,65068,0.2625453,318.73,2026-02-01
2025-11-24,2026-01-30,"Campaña ""Video Loreto""",active,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",8635,actions:post_engagement,11800,12973,0.00225594,19.48,2026-02-04
2025-11-24,2026-01-30,"Campaña ""Video Chiclayo""",active,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",11888,actions:post_engagement,13810,14480,0.00172779,20.54,2026-02-04
2025-11-24,2026-01-30,"Campaña ""Video Ica""",active,423.74,"Toda la campaña","7 días después del clic o 1 día después de la visualización",36249,actions:post_engagement,49576,55678,0.00277277,100.51,2026-02-04
2025-11-24,2026-01-30,"Campaña ""Video Loreto"" - Segmentado",active,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",7017,actions:post_engagement,10893,12147,0.00325353,22.83,2026-02-04
2025-11-24,2026-01-30,"Campaña ""Video Chiclayo"" - Segmentado",active,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",10965,actions:post_engagement,12374,13597,0.00195622,21.45,2026-02-04
2025-11-24,2026-01-30,"Campaña ""Video Ica"" - Segmentado",active,169.5,"Toda la campaña",-,14359,actions:post_engagement,17902,22738,0.00294798,42.33,2026-02-04
2025-11-24,2026-01-30,"Campaña ""George Forsyth - Cascajal""",active,423.74,"Toda la campaña","7 días después del clic o 1 día después de la visualización",35295,actions:post_engagement,51640,55648,0.00265193,93.6,2026-02-04
2025-11-24,2026-01-30,"Campaña ""Mi manada""",active,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",11277,actions:post_engagement,13980,13980,0.00162809,18.36,2026-02-04
2025-11-24,2026-01-30,"Campaña ""Plan de gobierno""",active,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",6877,actions:post_engagement,8417,9280,0.00261306,17.97,2026-02-04
2025-11-24,2026-01-30,"Campaña ""comunidad básquet""",active,169.5,"Toda la campaña","7 días después del clic o 1 día después de la visualización",8940,actions:post_engagement,15714,17454,0.00438926,39.24,2026-02-04
2025-11-24,2026-01-30,"Campaña ""Quién es Guillermo""",active,423.74,"Toda la campaña","7 días después del clic o 1 día después de la visualización",31970,actions:post_engagement,42034,44249,0.00276853,88.51,2026-02-04
2025-11-24,2026-01-30,"Campaña ""DM únete a mi canal""",active,84.75,Diario,-,18,actions:onsite_conversion.messaging_conversation_started_7d,7376,8992,6.85111111,123.32,2026-01-31
2025-11-24,2026-01-30,"Campaña ""Guillermo Challenge""",active,423.73,"Toda la campaña","7 días después del clic o 1 día después de la visualización",20400,actions:post_engagement,30284,34057,0.00384069,78.35,2026-02-04
2025-11-24,2026-01-30,"Campaña de Tráfico - ""Landing somista""",archived,169.5,"Toda la campaña","7 días después del clic o 1 día después de la visualización",18,actions:link_click,466,484,0.09277778,1.67,2025-12-26
2025-11-24,2026-01-30,"Campaña ""CP - Animalista""",completed,169.5,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",84,actions:offsite_conversion.fb_pixel_lead,13090,20706,1.96547619,165.1,2025-12-22
2025-11-24,2026-01-30,"Campaña ""CP - básquet""",completed,423.73,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",362,actions:offsite_conversion.fb_pixel_lead,36412,85019,1.16889503,423.14,2025-12-23
2025-11-24,2026-01-30,"Campaña ""CP - Somista""",completed,169.5,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",20,actions:offsite_conversion.fb_pixel_lead,8359,14217,8.464,169.28,2025-12-23
2025-11-24,2026-01-30,"Campaña de seguidores - 22/12",completed,847.46,"Toda la campaña","7 días después del clic o 1 día después de la visualización",1951,actions:like,128906,226236,0.31569452,615.92,2025-12-29
2025-11-24,2026-01-30,"Campaña ""CP - Somista"" - 31 DIC",inactive,169.5,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",19,actions:offsite_conversion.fb_pixel_lead,7351,9442,4.30526316,81.8,2026-01-02
2025-11-24,2026-01-30,"Campaña ""CP - básquet"" -  31 DIC",completed,423.73,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",347,actions:offsite_conversion.fb_pixel_lead,61368,119013,1.22043228,423.49,2026-01-09
2025-11-24,2026-01-30,"Campaña ""CP - Animalista"" -  31 DIC",completed,169.5,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",136,actions:offsite_conversion.fb_pixel_lead,31689,44927,1.24595588,169.45,2026-01-02
2025-11-24,2026-01-30,"EVENTO ""Volvamos a la FIBA""",completed,169.5,"Toda la campaña","7 días después del clic o 1 día después de la visualización",112,actions:rsvp,17033,25193,0.49946429,55.94,2025-12-29
2025-11-24,2026-01-30,"Campaña ""DM Whatsapp - Somistas""",inactive,306,"Toda la campaña","7 días después del clic o 1 día después de la visualización",19,actions:onsite_conversion.messaging_conversation_started_7d,4138,5831,3.67421053,69.81,2026-01-03
2025-11-24,2026-01-30,"Tráfico ""Invitación España""",completed,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",1598,actions:omni_landing_page_view,20144,37389,0.04630788,74,2026-01-16
2025-11-24,2026-01-30,"Campaña ""DM Whatsapp - Somistas"" - 30 ENERO",completed,423.73,"Toda la campaña","7 días después del clic o 1 día después de la visualización",202,actions:onsite_conversion.messaging_conversation_started_7d,31582,63374,2.08831683,421.84,2026-01-07
2025-11-24,2026-01-30,"Campaña ""CP - Somista"" - 30 ENERO",completed,423.73,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",48,actions:offsite_conversion.fb_pixel_lead,38342,60635,8.79416667,422.12,2026-01-07
2025-11-24,2026-01-30,"Campaña ""Video plan de gobierno""",completed,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",46505,actions:post_engagement,47488,66887,0.00166369,77.37,2026-01-04
2025-11-24,2026-01-30,"Tráfico ""Pronunciamiento Pataz""",completed,169.5,"Toda la campaña","7 días después del clic o 1 día después de la visualización",1022,actions:omni_landing_page_view,81941,102692,0.16585127,169.5,2026-01-06
2025-11-24,2026-01-30,"Tráfico ""Conferencia 6 enero""",completed,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",1279,actions:omni_landing_page_view,35359,45462,0.06626271,84.75,2026-01-06
2025-11-24,2026-01-30,"Evento ""En vivo Somista""",completed,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",157,actions:rsvp,31187,46120,0.53980892,84.75,2026-01-03
2025-11-24,2026-01-30,"Campaña ""Post somista en vivo""",completed,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",1168,actions:post_engagement,17940,22148,0.07255993,84.75,2026-01-03
2025-11-24,2026-01-30,"Campaña ""interacción Forzay",archived,84.75,Diario,-,,,0,0,,0,2026-01-05
2025-11-24,2026-01-30,"Campaña ""interacción Forzay""",completed,169.5,"Toda la campaña","7 días después del clic o 1 día después de la visualización",91256,actions:post_engagement,93832,134704,0.00160537,146.5,2026-01-12
2025-11-24,2026-01-30,"Campaña ""Camiseta Nacional""",completed,254.24,"Toda la campaña","7 días después del clic o 1 día después de la visualización",23482,video_thruplay_watched_actions,84825,105626,0.00674772,158.45,2026-01-15
2025-11-24,2026-01-30,"Campaña ""DM Whatsapp - Somistas"" - 8 ENERO",archived,423.73,"Toda la campaña","7 días después del clic o 1 día después de la visualización",2,actions:post_engagement,126,128,0.23,0.46,2026-01-15
2025-11-24,2026-01-30,"Campaña ""CP - Somista"" - 8 ENERO",archived,423.73,"Toda la campaña",-,,,0,0,,0,2026-01-15
2025-11-24,2026-01-30,"Campaña de seguidores - 2da semana enero",completed,847.46,"Toda la campaña","7 días después del clic o 1 día después de la visualización",2244,actions:like,189872,266399,0.35464795,795.83,2026-01-15
2025-11-24,2026-01-30,"Campaña ""CP - Animalista"" - 8 enero",archived,169.5,"Toda la campaña",-,,,0,0,,0,2026-01-15
2025-11-24,2026-01-30,"Campaña Flyers Biografía",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",109805,reach,109805,155004,1.54273485,169.4,2025-11-29
2025-11-24,2026-01-30,"Biografía Guillermo",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",398,actions:omni_landing_page_view,19657,30500,0.42567839,169.42,2025-11-29
2025-11-24,2026-01-30,"Campaña tráfico LinkedIn",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",848,actions:omni_landing_page_view,17555,40162,0.19972877,169.37,2025-11-29
2025-11-24,2026-01-30,"Campaña Video de Historia Guillermo Aliaga",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",83368,reach,83368,120807,1.62652337,135.6,2025-12-05
2025-11-24,2026-01-30,"Campaña de ""Mi recorrido: Guillermo Aliaga""",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",38702,reach,38702,40036,1.26143352,48.82,2025-12-02
2025-11-24,2026-01-30,"Campaña de tráfico Canal de Whatsapp",inactive,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",88,actions:omni_landing_page_view,3786,4267,0.25011364,22.01,2025-12-06
2025-11-24,2026-01-30,"Campaña ""Evento en la UNI""",inactive,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",148200,reach,148200,158297,0.95303644,141.24,2025-12-09
2025-11-24,2026-01-30,"Campaña ""Evento en la UNMSM""",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",191,actions:post_engagement,2005,2238,0.0886911,16.94,2025-12-05
2025-11-24,2026-01-30,"Biografía Guillermo - 2da pauta",completed,169.5,"Toda la campaña","7 días después del clic o 1 día después de la visualización",488,actions:omni_landing_page_view,41173,64333,0.34733607,169.5,2025-12-05
2025-11-24,2026-01-30,"Campaña tráfico LinkedIn - 2da pauta",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",902,actions:omni_landing_page_view,31590,50018,0.18791574,169.5,2025-12-05
2025-11-24,2026-01-30,"Campaña ""Evento Edircom""",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",47202,reach,47202,47202,0.89763146,42.37,2025-12-05
2025-11-24,2026-01-30,"Campaña ""Detrás de cámaras RPP""",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",46442,reach,46442,47220,0.91232074,42.37,2025-12-05
2025-11-24,2026-01-30,"Campaña de tráfico ""Conferencia Bolivia""",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",802,actions:omni_landing_page_view,58617,90393,0.31700748,254.24,2025-12-07
2025-11-24,2026-01-30,"Campaña Interacción Canal",inactive,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",5124,actions:link_click,72210,83487,0.06831772,350.06,2025-12-14
2025-11-24,2026-01-30,"Campaña de seguidores",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",3523,actions:like,87653,121027,0.23971331,844.51,2025-12-14
2025-11-24,2026-01-30,"Campaña formulario somista",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",195,actions:onsite_conversion.messaging_conversation_started_7d,50136,80203,4.34102564,846.5,2025-12-19
2025-11-24,2026-01-30,"Campaña de tráfico ""Artículo Bolivia""",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",1635,actions:omni_landing_page_view,42999,57265,0.10366972,169.5,2025-12-18
2025-11-24,2026-01-30,"Campaña de interacción ""Mi manada""",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",56699,actions:post_engagement,69867,69867,0.00149368,84.69,2025-12-18
2025-11-24,2026-01-30,"Campaña ""Canal lobos""",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",196,actions:onsite_conversion.messaging_conversation_started_7d,29387,40959,0.99811224,195.63,2025-12-14
2025-11-24,2026-01-30,"Campaña de seguidores - Copia",completed,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",4498,actions:like,189633,367319,0.37681636,1694.92,2025-12-20
2025-11-24,2026-01-30,"Campaña formulario somista - Copia",inactive,"Con el presupuesto del conjunto de anuncios",0,"7 días después del clic o 1 día después de la visualización",482,actions:onsite_conversion.messaging_conversation_started_7d,119481,255273,5.9526971,2869.2,2025-12-31
2025-11-24,2026-01-30,"Campaña de Tráfico - ""Landing Petlover""",archived,169.5,"Toda la campaña","7 días después del clic o 1 día después de la visualización",34,actions:link_click,1231,1327,0.105,3.57,2025-12-26
2025-11-24,2026-01-30,"Campaña de Tráfico - ""Landing básquet""",archived,169.5,"Toda la campaña","7 días después del clic o 1 día después de la visualización",23,actions:link_click,837,860,0.13130435,3.02,2025-12-26
