,,,,,,,,,,,,,,
# ¿Cuál es la tendencia de usuarios activos?,,,,,# ¿De dónde proceden los nuevos usuarios?,,,# ¿Cuál es la tendencia de usuarios activos?,,,,,# Fecha de inicio: 20260102,
# Fecha de inicio: 20260102,,,,,# Fecha de inicio: 20260102,,,# Fecha de inicio: 20260102,,,,,# Fecha de finalización: 20260129,
# Fecha de finalización: 20260129,,,,,# Fecha de finalización: 20260129,,,# Fecha de finalización: 20260129,,,,,Título de página y clase de pantalla,Vistas
Día N,30 días,7 días,1 día,,Primer grupo de canales principal del usuario (Grupo de canales predeterminado),Usuarios nuevos,,Día N,30 días,7 días,1 día,,El oro ilegal y la violencia que desangra al Perú,1279
0,6629,2082,583,,Paid Social,2812,,0,6629,2082,583,,Registro convocatoria de Básquet - Guillermo Aliaga,1093
1,7262,2656,762,,Organic Social,615,,1,7262,2656,762,,El Oro Ilegal y la Amenaza a la Gobernanza: Conferencia Internacional - Guillermo Aliaga,1023
2,6999,2623,15,,Direct,346,,2,6999,2623,15,,PRONUNCIAMIENTO ANTE LA VIOLENCIA EN PATAZ Y LA MINERÍA ILEGAL,762
3,7024,2952,430,,Organic Search,57,,3,7024,2952,430,,Vota con el Corazón - Guillermo Aliaga,400
4,7522,3382,767,,Referral,2,,4,7522,3382,767,,"enero 2, 2026 - Guillermo Aliaga",298
5,7757,3248,260,,,,,5,7757,3248,260,,Registro familia Somista - Guillermo Aliaga,234
6,7972,3020,221,,,,,6,7972,3020,221,,Página no encontrada - Guillermo Aliaga,148
7,8222,2685,244,,,,,7,8222,2685,244,,"Pedro Effio Yaipén, nuevo presidente del Consejo de Minería - Guillermo Aliaga",110
8,8347,2052,124,,,,,8,8347,2052,124,,Registro Convocatoria mesa Pet Lover - Guillermo Aliaga,55
9,8360,2115,80,,,,,9,8360,2115,80,,Libro - La clave del desarrollo - Guillermo Aliaga,54
10,8061,1698,14,,,,,10,8061,1698,14,,Ica: presentación de candidatos rumbo al 2026,47
11,7959,1008,74,,,,,11,7959,1008,74,,"Tú elijes, tú mandas - Guillermo Aliaga",44
12,7876,854,105,,,,,12,7876,854,105,,Loreto nos recibió con fuerza: lanzamiento de campaña,40
13,7363,677,45,,,,,13,7363,677,45,,Mi Biografía - Guillermo Aliaga - Guillermo Aliaga,33
14,6813,446,9,,,,,14,6813,446,9,,"Inversión minera supera los US$ 4,482 millones",17
15,6376,328,6,,,,,15,6376,328,6,,Pronunciamiento sobre la comparación entre la reunión del presidente José Jerí y el caso Sarratea,15
16,6108,253,5,,,,,16,6108,253,5,,Todas las noticias - Guillermo Aliaga,14
17,5836,274,36,,,,,17,5836,274,36,,La familia como primer espacio de valores: donde empieza el país,11
18,5602,206,7,,,,,18,5602,206,7,,Mi postulación al Senado: una decisión con enfoque técnico,7
19,5445,115,11,,,,,19,5445,115,11,,Crisis del básquet peruano: volvamos a la FIBA,5
20,5294,81,11,,,,,20,5294,81,11,,Criando a mis 10 Siberian Huskies aprendí sobre lealtad y disciplina: Mi Manada y yo - Guillermo Aliaga,4
21,5290,86,12,,,,,21,5290,86,12,,La necesidad de fortalecer la seguridad jurídica en la inversión minera,2
22,5307,106,27,,,,,22,5307,106,27,,Pronunciamiento sobre el proceso de ética ante el caso de la congresista Kira Alcarraz,2
23,5291,112,11,,,,,23,5291,112,11,,"La minería ilegal ya cuesta el 2.7% del PBI y desata un ""escenario de guerra"" en el Perú - Guillermo Aliaga",1
24,5143,115,44,,,,,24,5143,115,44,,"enero 8, 2026 - Guillermo Aliaga",1
25,5112,128,25,,,,,25,5112,128,25,,,
26,5027,131,18,,,,,26,5027,131,18,,,
27,4723,143,27,,,,,27,4723,143,27,,,